Word,CEFR,Receptive_freq
informativ,C1,2
informell,A2,1
informell,B2,6
informell,C1,2
inkorrekt,C1,3
innehållslig,C1,1
innersta,B1,1
innersta,C1,2
inre,B2,4
inre,C1,10
inrikespolitisk,B2,1
inrutad,C1,2
inställsam,C1,4
instruktiv,C1,1
instrumentell,C1,2
intellektuell,B2,2
intellektuell,C1,4
intelligent,A2,3
intelligent,B1,4
intelligent,C1,5
intensiv,A2,1
intensiv,B1,1
intensiv,B2,4
intensiv,C1,11
interkulturell,C1,3
internationell,A1,4
internationell,A2,4
internationell,B1,6
internationell,B2,8
internationell,C1,32
internordisk,C1,1
intilliggande,C1,1
intim,C1,3
intressant,A1,2
intressant,A2,17
intressant,B1,31
intressant,B2,28
intressant,C1,18
intresseväckande,B1,1
intuitiv,B2,1
invandrartät,B2,1
invandrartät,C1,2
irakisk,A1,1
irakisk,B1,2
irakisk,B2,1
iransk,B1,3
iransk,B2,1
iransk,C1,1
ironisk,A2,1
ironisk,B2,1
iskall,C1,2
islamsk,B2,1
isländsk,B1,3
isländsk,B2,1
isländsk,C1,6
italiensk,A1,3
italiensk,A2,9
italiensk,B1,8
italiensk,B2,8
italiensk,C1,3
ivrig,B2,1
ivrig,C1,1
jädra,B2,1
jäkla,B2,1
jäkla,C1,1
jämgammal,C1,2
jämlik,B1,1
jämlik,C1,4
jämn,A2,2
jämn,B2,3
jämn,C1,7
jämnvarm,C1,2
jämställd,B1,1
jämställd,B2,2
jämställd,C1,4
japansk,A1,5
japansk,A2,6
japansk,B1,15
japansk,B2,2
japansk,C1,5
jättearg,A2,1
jättearg,C1,1
jättebra,A2,3
jättebra,B1,4
jättebra,B2,5
jättebra,C1,2
jätteduktig,B2,3
jätteduktig,C1,1
jättedum,B1,1
jättedyr,A2,3
jättedyr,B1,1
jättedyr,B2,1
jättefin,A2,1
jätteglad,A2,2
jätteglad,B1,1
jättegod,A2,5
jättegod,B2,3
jättejobbig,A1,1
jättejobbig,B2,1
